"id"	"Reporter.intensity.corrected.1.TMT1"	"Reporter.intensity.corrected.2.TMT1"	"Reporter.intensity.corrected.3.TMT1"	"Reporter.intensity.corrected.4.TMT1"	"Reporter.intensity.corrected.5.TMT1"	"Reporter.intensity.corrected.6.TMT1"	"Reporter.intensity.corrected.1.TMT2"	"Reporter.intensity.corrected.2.TMT2"	"Reporter.intensity.corrected.3.TMT2"	"Reporter.intensity.corrected.4.TMT2"	"Reporter.intensity.corrected.5.TMT2"	"Reporter.intensity.corrected.6.TMT2"
"I3ITR1"	1585200	1301400	1460700	732720	2312800	1207000	979240	847930	1057600	413510	435270	1368500
"A0A286YCI8"	208967.333333333	206961.333333333	179289.333333333	148581.333333333	272342	151906	NA	NA	NA	NA	NA	NA
"A0A286YDB7"	NA	NA	NA	NA	NA	NA	57068	34346	66964	46454	35154	69916
"A0A0R4J2A2"	677905	439465	484518.5	763011	794510	666735.5	652013.333333333	675573.333333333	436750	540986.666666667	371850	650153.333333333
"Q7TQG5"	368670	285848.666666667	238503.666666667	153419.333333333	238996.666666667	178335.666666667	262993	265880.666666667	274365	211045.333333333	150081.333333333	291843
"P43274"	1242305	1933639.5	652352.5	424158	670701.5	975787.5	4152200	6627500	1748800	4481100	4626100	1932100
"Q3UYQ4"	46918	31587	25168	25454	22593	31460	142156	147180	117648.5	94677	87498	198580
"A2APT9"	69082	140240	123160	21256	143770	46856	NA	NA	NA	NA	NA	NA
"G3UW70"	934590	756770	935370	436520	974870	496700	NA	NA	NA	NA	NA	NA
"A0A2I3BRT5"	421613.333333333	320678	384678.666666667	235897	369795.666666667	282495.333333333	133753.333333333	157704.333333333	141113.333333333	112793.333333333	66071.3333333333	152339.333333333
"A0A1Y7VN70"	896800	721040	671470	338390	740550	639110	543770	430990	638150	360000	321510	568620
"Q8BLV3"	NA	NA	NA	NA	NA	NA	1186645	1506570	1361650	808140	635740	1370935
"A0A087WRL1"	609340	596720	559520	495480	848280	447580	1090600	1379200	1051000	806540	582340	1269300
"Q9CQQ8"	253510	248840	230090	157710	281940	203190	NA	NA	NA	NA	NA	NA
"P50428"	NA	NA	NA	NA	NA	NA	1353500	1152800	1512000	1125600	401520	1371100
"Q99MR3"	826275	410690	1263100	215858.5	428890	297050	50369	59232	45666	30079	26555	51351
"O88587"	231700	191800	205500	152200	160780	169010	386550.5	350960.95	393650	338919	450110	371229
"A0A1B0GSF7"	2615516.66666667	3017516.66666667	2085463.33333333	1570713.33333333	3278536.66666667	1761776.66666667	4928300	5031166.66666667	4249703.33333333	2985286.66666667	1594940	5044966.66666667
"Q544A1"	845915	799750	725585	509575	656115	460770	985405	969940	1116030	831585	491780	1361855
"K4DI58"	2878530	1593955	2311865	1166875	2847245	1668565	1834880	1645666.66666667	1742304	1205553.33333333	1108440	1732443.33333333
"G3UZM4"	4375400	3369000	4749000	2733700	5132600	3453300	2517396.66666667	1885350	2330866.66666667	2715580	2054230	2857970
"Q497W9"	305200	517940	269930	149870	418990	325730	410590	361790	345050	400540	304710	424510
"F2Z427"	291200	203140	194700	182900	135330	162490	NA	NA	NA	NA	NA	NA
"A0A452J888"	708150	537650	728800	465370	511500	505910	NA	NA	NA	NA	NA	NA
"Q5DU51"	NA	NA	NA	NA	NA	NA	1136825	1227005	733075	1093710	770545	740605
"E9PUD2"	NA	NA	NA	NA	NA	NA	378570	373490	197410	410770	357690	225360
"Q1WWJ8"	NA	NA	NA	NA	NA	NA	286130	372130	240200	213220	138410	308620
"Q9Z1L5"	245833.333333333	118044	212670	167440	297710	243900	805226.666666667	461053.333333333	709420	335974	365830	667900
"A0A1D5RMD2"	NA	NA	NA	NA	NA	NA	1005400	744440	1490900	591730	444920	1472600
"Q8BWR2"	803335	625905	614225	322375	551315	439690	163690	155000	220280	107270	90576	171340
"A0A0R4J1D0"	NA	NA	NA	NA	NA	NA	49279	49837	50246	39572	35434	45884
"Q8VBV7"	898805	757555	717365	444180	806005	542250	1458230	1549413.33333333	1427330	1112706.33333333	869380.333333333	1299883.33333333
"Q9CPY7"	2624600	2166400	3374200	1333900	2533300	1938600	1186443.33333333	1487283.33333333	1504950	957146.666666667	680366.666666667	1455550
"Q6PD28"	460510	469150	396050	263050	361760	330000	384260	363740	356970	265170	169980	469330
"Q3TXV7"	1215500	1170900	1098900	852260	1195100	914960	1323600	1538400	1464300	1041600	670230	1623500
"B2RTE8"	205930	52751	131860	271960	235690	305210	873880	667590	828220	391020	419940	593340
"Q8BRX1"	293460	317300	230820	137200	167420	97470	19542	8990	8778.3	15651	NA	39184
"Q8R4R6"	56442	85804	73462	45297	76620	42104	NA	NA	NA	NA	NA	NA
"Q9CQW2"	452260	335880	412600	231840	249770	292270	584870	553690	710660	346480	206800	611170
"Q9D6M3"	2908200	2040500	2114150	1907900	2784350	2104000	13105777.3333333	14109540	11067213.3333333	12080937.3333333	8512558.66666667	12214484.6666667
"A0A2C9F2A2"	176120	144790	135710	213650	262220	205810	47705	47315	41505	23358	18324	43445
"Q52KR6"	NA	NA	NA	NA	NA	NA	269919	322269	186656	200906	129241	231163.5
"Q9DC07"	1268960	1318413.33333333	1161400	955306.666666667	1576396.66666667	988560	2512366.66666667	2962566.66666667	3059266.66666667	1557876.66666667	1245326.66666667	2414766.66666667
"Q3ULN5"	2997945	1968781.5	4475727.5	4105974.5	5132317.5	4022108.5	3397700	4195050	3098500	2381275	1457720	2586260
"F6QKK2"	NA	NA	NA	NA	NA	NA	497875	466215	458950	409145	361880	436435
"Q9D172"	NA	NA	NA	NA	NA	NA	3722733.33333333	4266033.33333333	2610100	3786866.66666667	3265333.33333333	2689276.66666667
"A0A1L1SVG6"	1094926.66666667	741106.666666667	1040436.66666667	574946.666666667	967426.666666667	651293.333333333	1030040	1082525	977025	768035	497250	1107620
"Q3UN55"	725210	778810	708150	295850	607570	396880	2216.8	NA	3065.4	1787.3	NA	2249.9
"Q9CRD0"	1585785	1493435	1512810	982340	1866015	1112545	2030872.5	2396046.5	2222997	1498161.5	992899	2379228
"Q8BGC0"	541910	606120	487540	388440	584150	579780	263270	224330	253870	174940	110860	253610
"Q58EU7"	145505	183290	136955	169970	315575	350100	393720	430460	379490	214410	188740	259590
"O08576"	1100000	931910	951370	497490	679310	537290	NA	NA	NA	NA	NA	NA
"P68033"	249190	609670	271050	171960	4634900	394310	1477000	3162000	1551300	1722300	586880	1003300
"Q80TK2"	NA	NA	NA	NA	NA	NA	144600	146350	183460	108950	75142	179400
"A2AHX7"	29936	22109	16414	11611	12821	20550	NA	NA	NA	NA	NA	NA
"Q3T9U1"	355790	437800	415800	277780	480260	367220	NA	NA	NA	3102.1	NA	NA
"Q6ZQ84"	904950	635196.666666667	618536.666666667	405896.666666667	532190	535110	678580	531283.333333333	675260	487606.666666667	400273.333333333	680123.333333333
"A0A5F8MPW8"	NA	NA	NA	NA	NA	NA	54977	21981.75	23663.65	21202.8	34939	24671
"Q05BF9"	525080	451930	577850	441743.333333333	648286.666666667	430340	178920	151880	194095	124470	86093	175710
"Q8K2H2"	NA	NA	NA	NA	NA	NA	5153	6759.1	8895.5	4673	4134.9	9915.8
"Q62426"	NA	NA	NA	NA	NA	NA	1461900	2075200	1747800	1533500	885290	2081300
"Q3TPT3"	3822233.33333333	2811066.66666667	2506733.33333333	2538333.33333333	2348666.66666667	2969266.66666667	8892000	7876000	6058866.66666667	7788466.66666667	6616066.66666667	7389300
"Q3UY13"	65275.5	151542.5	171015.5	33459.05	89448	82247	NA	NA	NA	NA	NA	NA
"P62823"	2794700	1814600	1792650	1862790	2522095	2173200	1090246.66666667	1261785.33333333	582052.666666667	816179	1095696.66666667	563417
"J3QNU6"	866175	766670	624395	600760	801985	569090	248610	254510	210990	194630	167580	234890
"Q3THL1"	NA	NA	NA	NA	NA	NA	585530	455510	454780	327660	332590	503670
"Q3U8N2"	214503	224904.666666667	154468.666666667	220764.333333333	338015.666666667	229534.666666667	2387.4	4561.8	1312.5	4368.9	NA	2317.3
"Q8VCE6"	NA	NA	NA	NA	NA	NA	103130	86157	132590	73267	58459	129860
"Q80U19"	NA	NA	NA	NA	NA	NA	146740	84151	139280	67523	77228	107060
"A0A087WQL2"	NA	NA	NA	NA	NA	NA	16859	21748	14808	25998	16163	26880
"A1L337"	859610	584290	447650	192130	368430	245080	296050	272190	397220	175840	137750	412080
"G5E8J2"	214628.666666667	194146.666666667	175627.666666667	86957.3333333333	183687	132016.333333333	109358.333333333	145023	135879.333333333	109148.333333333	86675.6666666667	147146.333333333
"Q5M9M4"	406805	346065	247845	211335	246750	263925	1477605	644610	1344020	1127530	636665	1742165
"Q8BKE0"	1263300	1133500	1001300	836490	1361700	925550	362685	322885	259407.5	366315	286075	328011.5
"Q4VA29"	647255	524015	378335	226358.5	282880	395960	1324360	508750	1130420	1029090	728990	1409320
"A0A1B0GRU0"	2922030	2491523.33333333	3146783.33333333	3933203.33333333	4690026.66666667	3295963.33333333	6777433.33333333	6601766.66666667	6495733.33333333	6140066.66666667	3503066.66666667	8223733.33333333
"Q3UNN4"	366020	407650	265190	248020	488800	272420	612000	557830	606440	404440	205170	645190
"Q6NVE8"	239860	205460	210560	156430	205510	235670	691045	568730	709255	509990	293435	837040
"Q8R5H6"	703470	715946.666666667	630446.666666667	656056.666666667	950696.666666667	684830	996985	847390	762235	807060	567870	995500
"A0A0A6YWH4"	1889300	3228200	2141000	1323200	3208800	1703900	1648300	2532600	2069600	1432700	811220	2416100
"Q9WUM5"	4295550	3044700	3389750	1645000	2456350	2613500	944578.5	1157063	453289.5	1149623	1471528.5	357070.5
"Q6PB52"	539716.666666667	478216.666666667	298933.333333333	344106.666666667	566580	421503.333333333	191666.666666667	262662.333333333	189451	158666.666666667	98890	182309.333333333
"Q69ZS6"	725455	496245	429040	374575	396290	639755	646345	479600	617660	287360	394025	450525
"Q80U56"	420760	320490	281130	227930	247640	305670	109570	68522	125700	65835	39406	136770
"A0A0R4J0W7"	NA	NA	NA	NA	NA	NA	459750	213870	484290	297010	138640	505980
"A0A286YD03"	335176.666666667	304460	260814	168561.666666667	328300	236763.333333333	178818	235592.333333333	181799.333333333	146469.666666667	121579.333333333	180747
"F6W6N3"	114910	75282	88830	111340	111320	128520	NA	NA	NA	NA	NA	NA
"Q9WTP7"	551540	631220	399640	389705	446565	513850	296528.666666667	332032.333333333	342982.333333333	236084	151065.666666667	316764
"Z4YLR9"	474890	531560	325480	253810	321900	248000	410540	419200	429273.333333333	282416.666666667	275510	410150
"Q8CE90"	150729.666666667	100738.333333333	97736.6666666667	65276.6666666667	145847	86062.3333333333	88754	101030	93488	83432	53552	102740
"Q99JX1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q3ULJ9"	363706.666666667	327893.333333333	281650	186543.333333333	334046.666666667	224656.666666667	456890	378980	382590	399700	326590	458450
"Q3TZ31"	304610.5	296442.5	284765	306565	471251	275641	1277253.33333333	1474913.33333333	1075963.33333333	1297720	777220	1650950
"Q80UK0"	253160	234380	242380	239630	438270	183280	NA	NA	NA	NA	NA	NA
"A0A1B0GSM3"	NA	NA	NA	NA	NA	NA	804005	945720	932180	631835	397610	961585
"A0A0R4J1F4"	603796.666666667	504163.333333333	645146.666666667	403670	645100	450396.666666667	1405066.66666667	1373436.66666667	1317986.66666667	1137853.33333333	705250	1498830
"Q8BLE7"	5997200	4651100	3933900	1536200	2507500	2752900	1691220	1918976.66666667	1778693.33333333	1225796.66666667	1133366.66666667	1654983.33333333
"Q3TJZ6"	112750	128810	150410	60889	155680	84731	6840.6	28177	4921.7	11959	9176.4	21399
"Q9D2P8"	740870	202340	1292000	344730	624370	334540	NA	NA	NA	NA	NA	NA
"Q91YR1"	NA	NA	NA	NA	NA	NA	421840	509705	413860	329420	208200	466455
"J3KMH5"	99795	109120	99347	69765	148140	64757	151610	207300	147480	142050	88075	193520
"Q9Z2X1"	237324.5	276711.5	234494.5	149637.5	277210	143015.5	643400	770980	679930	571490	335310	804630
"Q8BKZ9"	2435850	2141705	2502850	1790685	3298800	2022685	2978790	3524833.33333333	3246776.66666667	2571406.66666667	2127686.66666667	3571376.66666667
"A2AMR7"	123430	183120	156230	97896	279440	123080	532650	424790	544420	251280	198600	502650
"B7ZCL9"	7120.9	2432.5	8739	6308.9	NA	11593	425040	396820	503350	349660	247180	605270
"D3Z2V6"	NA	NA	NA	NA	NA	NA	7663.8	10524	28641	12984	4478.3	23659
"D3Z1C5"	1453400	1360900	1113100	970340	1273800	921350	2620500	2605000	2614500	3221000	2342000	3316800
"Q8CJG1"	40818	18559	52453	7514.1	24058	28077	121010	118730	155220	51367	44161	152930
"Q02257"	75891.5	62643.5	79785.5	38333.45	54746.5	59012.25	156899	170266.5	199625	114449.5	103705	188445
"A0A0A0MQF7"	NA	NA	NA	NA	NA	NA	469470	651390	241350	629980	349010	325390
"F6W695"	300235	267990	274885	185035	280555	245360	NA	NA	NA	NA	NA	NA
