"id"	"Reporter.intensity.corrected.1.TMT1"	"Reporter.intensity.corrected.2.TMT1"	"Reporter.intensity.corrected.3.TMT1"	"Reporter.intensity.corrected.4.TMT1"	"Reporter.intensity.corrected.5.TMT1"	"Reporter.intensity.corrected.6.TMT1"	"Reporter.intensity.corrected.7.TMT1"	"Reporter.intensity.corrected.8.TMT1"	"Reporter.intensity.corrected.9.TMT1"	"Reporter.intensity.corrected.10.TMT1"
"3421"	1874283	1874986	2991500	1535264	2604593	3555529	2511202	2356273	2246486	1887794
"704"	580782	1757760	728730	1377790	486860	743580	509983	672060	934370	658080
"1037"	591386	773471	531742	630126	552561	855194	578943	514244	1173467	511834
"3455"	779259	352889	1501014	1703714	908985	3931500	960440	1222691	755025	1274857
"3288"	1579350	2723167	4369021	2563196	1662248	2566737	1776554	6378554	3263081	1050357
"3521"	902150	618556	795215	509761	985616	719940	922128	731356	988460	709710
"613"	1488700	2997940	2294020	726803	1329990	1609420	1374270	2258760	1355420	3267920
"4479"	2187130	2550420	2177470	1274340	2921110	1562810	3159520	2093770	1116970	1693450
"4601"	13017130	10609680	11665530	6535594	11049870	10197860	10991270	9374460	10317870	9903300
"4615"	21816980	14432333	24762980	9922369	6969408	11489330	7774137	13349134	10699720	24354900
"5232"	237396	306253	339484	164988	175311	310597	187430	303550	245303	173917
"1665"	530880	942720	516270	345970	331937	444890	340320	550110	1019730	705200
"1536"	7582880	6873462	12558090	2481807	4124944	6938205	4424237	9484558	3649586	9247030
"215"	2048790	927846	1734100	400587	723795	1620080	748210	1244600	810941	5354610
"3964"	2384773	2622083	2045114	987141	1326653.6	1653014	1486968.4	1910410	2395333	2069950.7
"5204"	3368280	2958144	3858480	2635090	4703240	6601620	4439270	4301080	3729690	3465171
"2420"	11062230	12205170	6904250	5524957	8096560	6218950	8371460	7363390	5745349	5820790
"2657"	13514800	15337860	15302630	5280934	5259278	11818800	5894032	13975080	5675485	8869316
"3594"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2538"	4367710	5212470	5105300	2256567	5299340	4350620	5350626	4528060	3257530	4128429
"5280"	24509180	25548060	20595251	10069500	12482256	15118231	13375759	18912051	22747480	22366474
"6490"	1357590	1001930	979304	610842	670223	818597	681427	853663	1932930	1114082
"818"	486857	249334	587190	163762	552195.9	555350	542850	482175	323976.6	338282
"1959"	39175820	39106960	39045650	16530390	46469200	33073720	48142600	34382750	31997320	44058290
"5108"	15422888	16487156	10452282	6299187	7762657	8324538	7238006	8323911	28330990	13619908
"391"	4139493	2414028	10822561	3028877	1986628	5581995	2774394	5848278	5989036	2886998
"2337"	1080090	1160650	567693	346829	815600	861540	745830	852260	424587	923850
"2286"	1197820	1859720	893006	894060	1422400	925990	1442930	765161	1875200	1016460
"5194"	1268570	1024988	1092890	471827	1199670	771480	1209210	937910	1052230	822205
"2690"	230308	202453	240815	164836	187369	217539	203110	202701	194498	177443
"5985"	209161	197724	437270	148047	200977	326700	167940	329990	162874	162638
"1450"	922950	2073550	826843	1163280	1687210	1005130	1637410	1304400	1058120	957271
"4889"	1043260	1268100	1405880	713441	1095530	1104640	1003260	1053570	525526	1089310
"1173"	4822444	4974120	5475432	5673882	6156875	5714538	6504316	5609274	8775726	4732470
"5296"	2930090	1859080	1599890	3299900	3948800	1174960	4185230	1987200	851120	1010230
"1705"	106620	574810	235220	138520	136210	172310	135140	203520	106930	172560
"6535"	24767670	18281460	14566973	13732362	10846401	13935878	11038987	16461313	9880831	9998650
"2975"	17787008	4649985	14170338	3533756	7414989	8971258	7627002	9837369	11841013	5257257
"461"	8216548	11665180	5186535	2968443	6576813	5688790	6316649	5007356	2896373	4113555
"3871"	1132144	2869000	1894610	923135	1009253	1273882	1061343	1889170	1056680	3615590
"3052"	748621	1059867	931940	735417	996678	1025324	1092242	963227	1124915	894901
"3958"	35115070	13554950	48837130	22376770	30343600	44280540	29943050	40473590	20469220	12985790
"3338"	7558720	6536130	5122570	1810380	6367250	3874090	6741400	4623680	5846110	9386970
"4895"	930901	608583	1403027	351357	381052	604734	441766	929608	1010680	2355640
"4720"	695551	2211811	806130	3043110	914477	1072344	888617	969289	1295784	1168282
"1588"	6416940	6625110	7617640	3681220	7846020	10395620	8056970	6322900	6933810	5766060
"2242"	21543920	22727630	18999700	11909980	24732360	16705110	25066550	20480190	14893440	17359710
"1346"	72053360	60635602	61904150	23872447	38332697	40236381	41693419	56953409	48475644	60648931
"6416"	484252	554830	1320560	402607	587240	803360	578420	922140	687520	541030
"2649"	1509790	1095308	1706679	743398	1340905	1282079	1301694	1738358	1292450	955585
"5210"	484406	299473	407633	132509	527220	318094	540400	364557	184147	531490
"6955"	5274810	4045920	5086243	1916580	3837934	4055670	3750406	4716642	3387310	4568015
"1864"	859967	852396	1417590	1012667	763674	1348338	728492	1350442	1222825	780195
"426"	1716917	1603704	1675631	656648	2363402	1239646	2278876	1526484	1753816	1496918
"4904"	484167	525722.6	858851	305490	1110240	863528	1103109	817539	537615	607178
"5945"	1167193	1342925	1865634	642413	1145616	1797106	1021743	1454675	983890	1973958
"5114"	12277818	7612096	20003660	5674072	12597290	23743230	11873270	19065810	8632827	9987900
"1466"	1740255.4	3731205	889903	1664337	2994281	745218	3243866	671338	2289474	587003.7
"3783"	744760	688920	655030	2584816	459969	741040	512221	620700	1147530	553257
"6069"	643787	818970	578177	388148.8	776332	627704	787653	611546	513985.6	724419
"260"	3809754	4036014	2304920	1933959	2533665	2431688	2668333	2254911	5233830	2567926
"5944"	168284	313156	308690	460201	397346	136264	394610	329548	157248	690633
"5947"	1068746	511516	680002	992368	1315440	655595	1202900	961530	1097262	1720520
"2802"	14793445	12148940	12171996	6300120	11921619	9819597	12342038	10333767	10910166	12380057
"5586"	1872970	1909430	1674590	742166	1666634	1327432	1602097	1535405	1417512	1891660
"1191"	8940582	30034224	11282541	51898150	6422596	14767305	6852650	13111991	20867482	17515010
"3261"	1827788	550179	3852842	1335362	871208	2105500	1003686	2442533	1073460	571687
"6057"	294274	402444	192652	146325	374935	266108	406301	192134	287304	349654
"1662"	1867148	4004499	2319889	1921304	2751650	2869522	2793207	2680144	2557777	3158934
"2409"	1434157492	1340191763	1950835792	634295183	1298159508	1734141252	1261076389	2047760428	1224518540	1740036946
"3138"	6513084	7047422	4863477	3725994	2689723	4158337	2668610	4882894	8852149	5262762
"5812"	1469219	2008160.8	1428419	751026.1	1523987	1313135	1565477	1053859.2	1538279	1360474.1
"3105"	1460772	2515655	1707044	1475520	1227039	1157368	1284471	1499998	2504898	1370002
"339"	6831448	4267138	4479320	1978824	4558877	2072265.3	4801566	3221300	2960399	4721640
"3074"	2066740	324990	4256100	3698650	1767660	5365470	1828720	3059810	3058160	741640
"4607"	18391819	17675695	23913607	9844255	10075070	13051241	10958473	15687064	12247020	16590555
"2380"	36763	50075	58071	52110	211060	32265	231230	23997	13970	8007.9
"1677"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2638"	536650	395402	670320	226397	474116	517800	450840	682780	432710	452680
"393"	347845	539840	392490	264145	453080	360549	470157	330955	424176	359041
"1599"	750292	637716	965102	617000	740303	1207690	668480	802299	634026	531635
"1746"	46790180	43706390	76728160	11547481	32976529	62660220	35183381	56258820	20759915	49861330
"5408"	244535	118047	208448	147234	152935	273891	147674	218535	275668	112644
"5982"	22031820	19245460	18919260	8189200	12711370	14571490	13061710	19413290	31191270	29433930
